nombre-activo,nombre-marca,presentacion,registro-sanitario
ABACAVIR,ABACAVIR,300 mg TABLETAS RECUBIERTAS,E.F.G.39.548
ABACAVIR,ABACAVIR,300 mg TABLETAS RECUBIERTAS,E.F.G.37.690
ABACAVIR,ZIAGEN,20 mg / ml SOLUCION ORAL,E.F.39.536
ABACAVIR,ABAVIR,300 mg TABLETAS RECUBIERTAS,E.F.34.812
ABACAVIR,ZIAGEN,300 mg TABLETAS RECUBIERTAS,E.F.31.993
ABACAVIR-LAMIVUDINA,ABACAVIR-LAMIVUDINA,600 mg - 300 mg TABLETAS RECUBIERTAS,E.F.G.40.489
ABACAVIR-LAMIVUDINA,KIVEXA,600 mg - 300 mg TABLETAS RECUBIERTAS,E.F.40.105
ABACAVIR-LAMIVUDINA-ZIDOVUDINA,ABACAVIR-LAMIVUDINA-ZIDOVUDINA,300 mg - 150 mg - 300 mg TABLETAS RECUBIERTAS,E.F.G.39.830
ABACAVIR-LAMIVUDINA-ZIDOVUDINA,TRIZIVIR,TABLETAS RECUBIERTAS,E.F.32.863
ABIRATERONA,ZYTIGA,250 mg TABLETAS,E.F.40.874
ACARBOSE,GLUCOBAY,100 mg TABLETAS,E.F.27.838
ACARBOSE,GLUCOBAY,50 mg TABLETAS,E.F.27.837
ACECLOFENAC,BIOFLEX,100 mg TABLETAS RECUBIERTAS,E.F.39.461
ACECLOFENAC,ZERODOL,100 mg TABLETAS RECUBIERTAS,E.F.38.373
ACECLOFENAC,ACENAC,100 mg TABLETAS RECUBIERTAS,E.F.34.408
ACECLOFENAC,BRISTAFLAM,1.5 % CREMA,E.F.28.863
ACEITE DE SOYA,CELEPID,20 % EMULSION LIPIDICA PAPAR INFUSIO INTRAVENOSA,E.F.41.119
ACEITE DE SOYA,CELEPID MCT-LCT,20 % EMULSIÓN LIPIDICA PARA INFUSIÓN,E.F.41.071
ACEITE DE SOYA,CELEPID,10 % EMULSIÓN LIPIDICA PARA INFUSIÓN INTRAVENOSA,E.F.41.070
ACEITE DE SOYA,NIRPID,20 % EMULSION INTRAVENOSA,E.F.39.376
ACEITE DE SOYA,NIRPID,10 % EMULSION INTRAVENOSA,E.F.39.226
ACEITE DE SOYA-FOSFOLIPIDOS DEL HUEVO-GRICEROL,LIPOVENOS,20 % EMULSION INTRAVENOSA,E.F.28.169
ACEMETACINA,ACEMETACINA,60 mg CÁPSULAS,E.F.G.41.303
ACEMETACINA,DOLYMET,60 mg CAPSULAS,E.F.39.068
ACEMETACINA,PRANEX RETARD,90 mg CAPSULAS DE LIBERACION PROLONGADA,E.F.30.285
ACEMETACINA,PRANEX,60 mg CAPSULAS,E.F.29.843
ACETAMINOFEN,ACETAMINOFEN,650 mg COMPRIMIDOS,E.F.G.41.663
ACETAMINOFEN,ACETAMINOFEN,650 mg TABLETAS,E.F.G.41.274
ACETAMINOFEN,ACETAMINOFEN,750 mg TABLETAS,E.F.G.41.239
ACETAMINOFEN,ACETAMINOFEN,120 mg/ 5 mL JARABE,E.F.G.41.034
ACETAMINOFEN,ACETAMINOFEN,750 mg COMPRIMIDOS,E.F.G.40.700
ACETAMINOFEN,ACETAMINOFEN,650 mg COMPRIMIDOS,E.F.G.40.699
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.40.294
ACETAMINOFEN,ACETAMINOFEN,180 mg/5 ml JARABE USO PEDIATRICO,E.F.G.40.084
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE USO PEDIATRICO,E.F.G.40.083
ACETAMINOFEN,ACETAMINOFEN,150 mg /5 mL JARABE,E.F.G.39.282
ACETAMINOFEN,ACETAMINOFEN,160 mg / 5 mL SUSPENSION ORAL USO PEDIATRICO,E.F.G.39.222
ACETAMINOFEN,ACETAMINOFEN,650 mg TABLETAS,E.F.G.39.192
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE,E.F.G.39.022
ACETAMINOFEN,ACETAMINOFEN,1.000 mg COMPRIMIDOS,E.F.G.39.020
ACETAMINOFEN,ACETAMINOFEN,120 mg/ 5 mL JARABE,E.F.G.38.178
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.37.571
ACETAMINOFEN,ACETAMINOFEN,180 mg/ 5 mL JARABE,E.F.G.37.300
ACETAMINOFEN,ACETAMINOFEN,650 mg COMPRIMIDOS,E.F.G.36.987
ACETAMINOFEN,ACETAMINOFEN,750 mg COMPRIMIDOS,E.F.G.36.986
ACETAMINOFEN,ACETAMINOFEN,750 mg COMPRIMIDOS,E.F.G.36.985
ACETAMINOFEN,ACETAMINOFEN,650 mg TABLETAS,E.F.G.36.731
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE USO PEDIATRICO,E.F.G.36.421
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE,E.F.G.36.043
ACETAMINOFEN,ACETAMINOFEN,500 mg CAPSULAS BLANDAS,E.F.G.35.084
ACETAMINOFEN,ACETAMINOFEN,650 mg COMPRIMIDOS,E.F.G.34.828
ACETAMINOFEN,ACETAMINOFEN,650 mg TABLETAS,E.F.G.34.795
ACETAMINOFEN,ACETAMINOFEN,650 mg TABLETAS,E.F.G.33.906
ACETAMINOFEN,ACETAMINOFEN,500 COMPRIMIDOS,E.F.G.33.539
ACETAMINOFEN,ACETAMINOFEN,150 mg /5 ml JARABE,E.F.G.32.998
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.32.984
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.32.968
ACETAMINOFEN,ACETAMINOFEN,500 mg COMPRIMIDOS,E.F.G.32.616
ACETAMINOFEN,PARACETAMOL,500 mg TABLETAS,E.F.G.32.144
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE,E.F.G.32.090
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.32.022
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE,E.F.G.31.254
ACETAMINOFEN,ACETAMINOFEN,120 mg/5 ml JARABE,E.F.G.31.249
ACETAMINOFEN,ACETAMINOFEN,500 mg TABLETAS,E.F.G.31.234
ACETAMINOFEN,ACETAMINOFEN,650 mg CAPSULA BLANDA,E.F.G.31.115
