username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;cluster
0050Luis;2017-03-04 10:59;0.0;0.0;@Farmahorrove Favor,me urge,informarme en cuál tienda de Caracas disponen de Sertralina de 50 mg y Bactron Forte y Omeprazol de 40 mg;;@Farmahorrove;;838041176133545987;https://twitter.com/0050Luis/status/838041176133545987;2
0050Luis;2017-05-03 12:16;0.0;0.0;@LocatelVzla_ATC Favor informarme si disponen de clonazepam ,o similar,de 2 mg en cualquiera de las tiendas de Caracas.Me urge.;;@LocatelVzla_ATC;;859803796754583552;https://twitter.com/0050Luis/status/859803796754583552;2
0800OpoSitora;2017-03-17 19:21;0.0;0.0;#ServicioPublico adulto mayor necesita con suma urgencia alprazolam o alpram 0,5 d 1 o 2mg tef contacto 04141805491 caracas farmacia o inst;;;#ServicioPublico;842878538680320000;https://twitter.com/0800OpoSitora/status/842878538680320000;2
0zaida;2017-04-16 13:52;0.0;0.0;@compartex1vida Disponible 12 LEUCOVORINA (Folinato Calcio ) de 50 mg. Tlf 04145309771 pic.twitter.com/ECfGKG5aMS;;@compartex1vida;;853667333591715841;https://twitter.com/0zaida/status/853667333591715841;1
1000_am;2017-05-31 14:57;2.0;0.0;"La próxima semana se va a confirmar la chapa presidencial de la disidencia"". Dip . @HVelazquezPy [M @lacostasoy ]""";;@HVelazquezPy @lacostasoy;;869991247267680256;https://twitter.com/1000_am/status/869991247267680256;0
13lira;2017-04-18 19:29;0.0;0.0;Hola @PeJotaLibre eso de la auyama se toma o se prepara crudo o se cocina la auyama.Es p/mi padre no consigue tamsulon . Esp resp.Gracias!;;@PeJotaLibre;;854476977625018368;https://twitter.com/13lira/status/854476977625018368;0
1575toni;2017-04-11 23:43;0.0;0.0;@ingrid_gil tengo carvedilol 0426 8194293;;@ingrid_gil;;852004280940855297;https://twitter.com/1575toni/status/852004280940855297;1
1575toni;2017-05-30 13:30;0.0;1.0;@terrazos tengo trileptal;;@terrazos;;869606842003050496;https://twitter.com/1575toni/status/869606842003050496;1
1575toni;2017-05-30 13:36;0.0;0.0;@merielys tengo trileptal 0426 8194293;;@merielys;;869608470710018048;https://twitter.com/1575toni/status/869608470710018048;1
1889CARCnaval;2017-03-08 18:51;0.0;0.0;Voy en el 106 y tengo la cara pegada al asiento de adelante. Transporte urbano low cost , ya te siento.;;;;839609632964427776;https://twitter.com/1889CARCnaval/status/839609632964427776;0
1er_g;2017-05-29 01:32;0.0;0.0;@FarmaMontreal buenas recibi mensaje que tienen disponible neurixa necesito urgente para un familiar porfa envieme dirección gracias!;;@FarmaMontreal;;869063950759022592;https://twitter.com/1er_g/status/869063950759022592;2
1granitodeamor;2017-06-01 13:17;3.0;3.0;Entregando donaciones de L-Carnitina a gggggiiiiissssseeeeellllleeeee de comparteporunavida … https://www. instagram.com/p/BUzhYUiFM5F/;;;;870328371393302528;https://twitter.com/1granitodeamor/status/870328371393302528;1
1SandyMejia;2017-06-01 08:14;0.0;0.0;Nueva aerolínea “Level” ofrecerá vuelo directo entre Barcelona y Punta Cana: BARCELONA. La aerolínea low cost Level, que hoy inicia… pic.twitter.com/0VTZnCLwWF;;;;870252143055261700;https://twitter.com/1SandyMejia/status/870252143055261700;0
24HorasTVN;2017-05-26 08:28;7.0;3.0;El momento en el que Donald Trump empuja al primer ministro de Montenegro en una reunión de la OTAN → http:// bit.ly/2qiZrYi pic.twitter.com/wNgY181UvP;;;;868081429435084800;https://twitter.com/24HorasTVN/status/868081429435084800;0
26_francisco;2017-03-07 19:24;0.0;0.0;"Ya aburre está Sra con su recitación . Es lo mismo de hace 4 años solo le cambio la presidencia x edomex "" recita x recitar y no dice nada https:// twitter.com/oscar_jmora/st atus/838927709791191041 …""";;;;839255450122084352;https://twitter.com/26_francisco/status/839255450122084352;0
27MauroCastro;2017-05-06 08:03;0.0;0.0;Alguien sabe donde se consiguen gotas clarasol o parecidas? Por las lacrimogenas y eso;;;;860827296026021889;https://twitter.com/27MauroCastro/status/860827296026021889;2
27miriamgarcia;2017-05-09 08:50;0.0;0.0;Para poder Cubrir Tratamiento para mi Hermana Vendo 4 #CISPLATINO 50mg cada uno 04267437692;;;#CISPLATINO;861926328681058306;https://twitter.com/27miriamgarcia/status/861926328681058306;1
